R,G,B
133.4623645872245,115.82573776615615,109.70732162868883
133.433787822189,115.80444527456108,109.67893163989541
133.38802764288383,115.78446021666043,109.65745237205827
133.42995890922674,115.79435935748972,109.66398954053045
133.4135225999253,115.7765222263728,109.63391856555846
133.36468061262607,115.72114307060141,109.5924542398207
133.43341426970488,115.79389241688457,109.6786514755323
133.52708255509899,115.90679865521106,109.81462457975346
133.5244676877101,115.95209189391109,109.91221516623085
133.60244676877102,116.04790810608891,110.04193126634293
133.74561075831156,116.19630183040717,110.21824803884945
133.80248412401943,116.28128502054538,110.3370377288009
133.82994023160254,116.36953679491968,110.48048188270452
133.7824990661188,116.37766156144939,110.5169032499066
133.94293985805007,116.52754949570415,110.74682480388495
134.08694434067988,116.67837131116922,110.9129622711991
134.13625326858423,116.74906611878968,111.02175943220023
134.07807246918193,116.75093388121032,111.11692192753083
134.08292865147553,116.80407172207696,111.22385132611132
134.2160067239447,116.95209189391109,111.41436309301457
134.29071722076952,117.04753455360478,111.56210310048561
134.49598431079568,117.26484871124393,111.8048188270452
134.71768771012327,117.4746918192006,112.06602540156892
134.7738139708629,117.55771385879716,112.1976092641016
134.87308554351887,117.66492342174075,112.32424355621964
134.92706387747478,117.73300336197235,112.418658946582
134.96087037728802,117.78604781471797,112.50607022786701
135.04734777736272,117.8626260739634,112.60319387373926
135.03987672768025,117.88606649234218,112.64820694807621
134.97926783713112,117.85730295106463,112.62579379902877
135.00308180799402,117.89764661935001,112.66286888307808
135.03333955920806,117.93304071722076,112.71395218528203
134.97375793799029,117.90679865521106,112.71591333582369
134.94891669779605,117.89372431826672,112.68957788569294
134.98328352633544,117.92790437056406,112.74094135226
135.08451624953307,118.01101979828165,112.801176690325
135.13036981695927,118.03474038102354,112.83694434067986
135.09675009338812,118.01699663802765,112.83367575644378
135.0656518490848,117.97777362719462,112.80986178558088
135.10403436682853,117.99094135226,112.80631303698169
135.087317893164,117.96068360104594,112.77988419872992
135.01821068360104,117.93154650728427,112.74402316025402
135.05519237952933,117.96105715353008,112.77026522226373
135.02904370564065,117.94256630556593,112.75037355248412
134.98449757190886,117.90026148673888,112.71862159133359
134.96376540903998,117.91137467314158,112.75494957041464
135.02764288382517,117.96955547254389,112.81266342921181
135.03819574150168,117.9786141202839,112.84721703399327
135.01484871124393,117.99841240194247,112.89867388868136
135.10608890549122,118.11178558087411,113.06359731042211
135.3752334703026,118.38064998132238,113.37887560702279
135.52633545013074,118.57172207695181,113.60207321628688
135.71918192005978,118.78726186029137,113.91977960403436
135.90642510272693,118.99934628315279,114.19994396712738
136.03707508404932,119.19508778483377,114.45974971983564
136.15259618976467,119.34525588345163,114.67304818827046
136.33713111692194,119.56705267090027,114.95171834142697
136.51008591707134,119.77400074710496,115.22058274187523
136.69340679865522,119.96936869630183,115.49402316025402
136.77306686589466,120.07461710870378,115.63998879342547
136.81948076204708,120.13326484871125,115.74383638401196
136.90082181546506,120.2310422114307,115.89605902129249
136.98748599178185,120.3394658199477,116.02101232723197
136.98832648487112,120.37177810982443,116.0707881957415
137.0171834142697,120.41660440791931,116.16044079193126
137.0388494583489,120.45713485244677,116.20918939110945
137.02502801643632,120.47693313410534,116.25298841987299
136.9925289503175,120.46610011206575,116.29109077325364
137.015035487486,120.49775868509525,116.33367575644378
136.96647366454988,120.49150168098618,116.35440791931266
136.96610011206573,120.50448262980949,116.40324990661188
136.9675009338812,120.52568173328352,116.43369443406799
136.9304258498319,120.50457601793052,116.41735151288756
136.92594322002242,120.5147553231229,116.42472917444901
136.99859917818455,120.58339559208069,116.50046694060515
136.89587224505044,120.52465446395219,116.47674635786328
136.87598057527083,120.5021479267837,116.45498692566305
136.91286888307806,120.5334329473291,116.49542398206948
