R,G,B
114.56015264109259,109.31552520586463,107.02771640891746
114.2058646314521,109.07250451897971,106.85880698935529
114.26320546294437,109.01124723840128,106.72092789716811
114.30578429403495,109.1165896766419,106.9272946374774
114.40480016067484,109.1256276360715,106.83972685278168
114.34424583249648,109.15756175938944,106.94908616187989
114.41142799758988,109.1110664792127,106.83068889335208
114.22454308093995,109.02259489857401,106.81773448483631
114.29995983129142,109.007531632858,106.72645109459731
114.34233781883913,109.13607150030127,106.9395460935931
114.43532837919261,109.12371962241414,106.84625426792529
114.41895963044789,109.19491865836514,107.00281180960032
114.40982124924683,109.09941755372564,106.82416147820848
114.25145611568588,109.0499096204057,106.85067282586864
114.41895963044789,109.13747740510142,106.87296645912834
114.36192006426994,109.16880899779072,106.98804980919863
114.421269331191,109.1316529423579,106.87417152038562
114.31080538260694,109.08786905001004,106.91162884113275
114.31883912432215,108.96957220325366,106.7098815023097
114.19963848162281,108.90861618798955,106.71851777465355
114.37979513958626,109.02590881703154,106.7825868648323
114.31492267523599,109.04559148423378,106.86874874472785
114.42036553524804,109.0544286001205,106.79825266117695
114.34022896163889,109.06085559349268,106.90008033741715
114.35971078529825,108.97961438039766,106.72514561156859
114.25466961237196,108.95240008033741,106.77826872866038
114.43020686884917,109.0589475798353,106.82606949186584
114.37597911227154,109.08696525406708,106.92036553524804
114.4809198634264,109.10594496886925,106.85047198232577
114.30889736894959,109.01476200040169,106.84695722032536
114.35699939746937,108.99236794537056,106.7432215304278
114.26200040168709,108.98503715605543,106.82416147820848
114.36814621409921,108.9769029925688,106.75597509540069
114.32104840329383,108.98182365936935,106.85217915244024
114.3693512753565,108.92930307290621,106.7088772845953
114.25336412934324,108.8834103233581,106.73428399276963
114.24713797951397,108.81572604940752,106.56919060052219
114.27676240208878,108.91805583450493,106.76471178951597
114.37557742518578,108.9403494677646,106.69823257682266
114.3304880498092,108.96495280176742,106.80990158666398
114.34565173729665,108.90449889536052,106.67232375979113
114.2259489857401,108.86784494878489,106.71018276762402
114.30387628037758,108.86955211889938,106.63526812612974
114.31903996786504,108.95792327776662,106.80036151837719
114.44948784896566,109.00843542880096,106.76933119100221
114.38622213295842,109.04609359309099,106.8708576019281
114.3440449889536,108.90731070496084,106.67463346053424
114.2427194215706,108.85770234986946,106.71098614179554
114.36202048604137,108.86322554729865,106.65374573207471
114.28087969471781,108.85770234986946,106.71630849568186
114.40941956216108,108.89114279975898,106.67091785499096
114.35418758786905,108.91946173930508,106.76260293231573
114.30538260694918,108.79855392649127,106.56396866840731
114.19511950190801,108.77505523197429,106.59991966258285
114.41514360313316,108.90088371158868,106.6715203856196
114.31703153243623,108.87848965655755,106.72645109459731
114.41815625627636,108.90580437838923,106.66639887527616
114.35499096204057,108.90289214701747,106.74964852379996
114.38009640490058,108.85619602329785,106.61227154046998
114.32195219923679,108.89284996987347,106.72886121711187
114.43452500502109,108.9418557943362,106.68758786905
114.30789315123519,108.90459931713195,106.72996585659772
114.42006426993372,108.911227154047,106.68859208676442
114.2366941152842,108.77154046997389,106.61889937738502
114.251255272143,108.6852781683069,106.44637477405101
114.2886121711187,108.77535649728861,106.62874071098614
114.38672424181563,108.81100622614983,106.57983530829483
114.32155051215103,108.83028720626632,106.68256678047801
114.44376380799358,108.88230568387226,106.64571199035952
114.248744727857,108.77093793934525,106.61347660172726
114.26963245631653,108.69803173327978,106.45852580839527
114.33510745129544,108.84766017272544,106.68407310704961
114.46776461136774,108.89365334404499,106.6695119501908
114.4177545691906,108.92488451496284,106.76270335408717
114.47459329182567,108.90951998393251,106.68387226350673
114.29072102831894,108.84635468969672,106.66077525607551
114.35519180558344,108.83038762803776,106.5671821650934
114.30277164089175,108.85087366941153,106.68397268527816
114.36824663587066,108.81130749146415,106.573709580237
114.29403494677646,108.78057842940349,106.61166900984134
114.30347459329182,108.70646716208074,106.4561156858807
114.2043583048805,108.67624020887729,106.50813416348664
114.33319943763809,108.74292026511348,106.48312914239807
114.31180960032135,108.80447881100622,106.61779473789917
114.4762000401687,108.87477405101426,106.6266318537859
114.38833099015866,108.87296645912834,106.71249246836715
114.38662382004418,108.80106447077726,106.54117292629041
114.256276360715,108.74733882305684,106.55392649126331
114.46364731873871,108.87698332998595,106.62070696927094
114.41564571199036,108.91946173930508,106.73729664591283
114.52138983731673,108.96696123719623,106.7013456517373
114.41363727656156,108.94044988953605,106.74111267322756
114.45872665193814,108.88873267724442,106.62582847961438
114.32406105643703,108.8041775456919,106.62833902390038
114.44024904599317,108.81914038963647,106.56838722635067
114.40058244627436,108.85217915244024,106.67624020887729
114.54046997389034,108.91383812010444,106.66931110664792
114.3567985539265,108.82315726049407,106.61518377184173
114.41554529021892,108.8076923076923,106.52259489857401
114.43271741313517,108.89566177947378,106.70305282185178
114.52942357903193,108.93311910022092,106.65123518778871
