R,G,B
114.69292748433304,108.7419675718691,106.43181139958222
114.47169999005273,108.61633343280613,106.37620610762956
114.64289266885507,108.70008952551477,106.39729433999801
114.56122550482444,108.67731025564508,106.483835670944
114.61712921515965,108.61374714015717,106.34855267084453
114.48612354521039,108.55625186511489,106.34308166716403
114.54063463642694,108.52810106435889,106.2472893663583
114.39649855764448,108.47607679299712,106.27812593255744
114.64339003282602,108.62498756590072,106.36198149806027
114.66169302695712,108.7192877747936,106.5323783945091
114.76385158659107,108.73162240127326,106.46961106137472
114.4860240724162,108.55286979011241,106.35452103849597
114.53615836068835,108.5150701283199,106.24430518253257
114.5982293842634,108.65174574753804,106.47100368049338
114.72217248582513,108.69491694021686,106.45568487018801
114.60340196956132,108.6588083159256,106.50522232169502
114.67860340196957,108.66059882622103,106.44076395105938
114.56828807321197,108.63483537252561,106.44235551576644
114.67233661593554,108.65035312841938,106.39251964587686
114.65492887695216,108.72843927185914,106.56301601511987
114.56182234158958,108.56122550482444,106.34536954143041
114.39888590470507,108.47150104446433,106.32975231274247
114.50790808713816,108.46921317019795,106.26469710534168
114.48184621506019,108.48950562021287,106.33850591863126
114.54401671142942,108.47339102755396,106.25355615239232
114.47169999005273,108.51556749229086,106.362876753208
114.59206207102358,108.54719984084353,106.33174176862629
114.5551576643788,108.59136576146425,106.442653934149
114.52909579230081,108.48990351138964,106.25683875460062
114.38078185616234,108.41808415398388,106.26638814284293
114.53048841141948,108.48632249079877,106.2365463045857
114.46811896946186,108.5259126628867,106.37133194071421
114.57763851586591,108.559434994529,106.34725952452004
114.4816472694718,108.54889087834478,106.38187605689843
114.59663781955635,108.57365960409828,106.33641698995325
114.49239033124441,108.55575450114394,106.39381279220133
114.59126628867004,108.5853973938128,106.37033721277231
114.43996816870586,108.50850492390332,106.39520541132
114.4891077290361,108.45349646871581,106.23953048841142
114.36198149806027,108.37212772306773,106.22341589575251
114.42882721575648,108.36088729732418,106.14115189495674
114.35481945687854,108.38734706057893,106.25474982592262
114.49686660698299,108.45200437680295,106.2451009648861
114.48890878344773,108.51696011140953,106.36964090321297
114.62220232766339,108.58679001293146,106.37033721277231
114.3705361583607,108.42076991942703,106.28797373918233
114.3888391524918,108.37720083557147,106.14483238834178
114.45478961504028,108.51029543419875,106.3790908186611
114.5625186511489,108.5421267283398,106.32816074803542
114.50760966875559,108.58947577837462,106.43678503929175
114.56609967173978,108.58301004675221,106.36486620909182
114.40952949368348,108.5151696011141,106.35273052820054
114.53735203421864,108.56212075997215,106.32438078185616
114.50422759375311,108.62061076295633,106.47070526211081
114.52312742464936,108.54580722172486,106.34308166716403
114.47637521137969,108.53784939818959,106.41171789515568
114.40415796279717,108.37968765542624,106.1673132398289
114.27255545608276,108.32467920023873,106.16472694717994
114.47060578931662,108.44772704665274,106.20471501044464
114.44683179150502,108.51238436287676,106.36227991644286
114.53178155774395,108.51815378493981,106.28717795682881
114.46095692828011,108.53476574156969,106.3736198149806
114.4438476076793,108.45270068636228,106.22759375310852
114.28130906197156,108.37700188998309,106.21615438177659
114.49149507609668,108.48880931065354,106.2753406943201
114.37779767233661,108.46075798269173,106.30259623992838
114.51984482244106,108.52790211877051,106.3022978215458
114.42783248781458,108.51059385258132,106.3606883517358
114.42146622898638,108.43668556649756,106.20372028250273
114.2959315627176,108.41659206207102,106.26479657813589
114.39261911867105,108.41669153486521,106.20789813985874
114.2882721575649,108.32686760171093,106.21903909280812
114.33572068039392,108.26827812593255,106.07102357505222
114.13796876554262,108.13597930965881,106.00089525514771
114.18969461852184,108.09479757286383,105.87973739182334
114.19934347955834,108.18531781557743,106.04824430518254
114.30418780463543,108.2181438376604,106.00387943897344
114.25186511489107,108.24888093106536,106.10842534566795
114.31980503332339,108.22908584502139,106.0042773301502
114.16791007659405,108.17517159056997,106.0216850691336
114.23256739281807,108.1468218442256,105.92400278523824
114.24937829503631,108.24639411121058,106.08932656918333
114.39371331940714,108.30030836566199,106.06853675519746
114.32259027156073,108.32318710832587,106.16880533174177
114.32597234656322,108.23714314135084,105.98239331542823
114.23624788620312,108.2365463045857,106.06495573460658
114.36635830100468,108.28847110315328,106.04237541032528
114.29284790609768,108.28777479359395,106.12702675818164
114.32199343479559,108.23346264796578,106.00706256838754
114.2042176464737,108.14413607878245,105.984880135283
114.18969461852184,108.01561722868796,105.77767830498358
114.08693922212275,107.97284392718592,105.805530687357
114.2925494877151,108.09380284492191,105.86839749328558
114.19645876852681,108.11170794787625,105.95235253158262
114.33213965980305,108.14781657216751,105.90042773301502
114.1943698398488,108.09648861036507,105.92251069332538
114.23783945091017,108.04605590371034,105.80612752412215
114.1436387148115,108.03004078384562,105.85218342783249
114.28658112006366,108.09967173977917,105.8412414204715
114.2020292450015,108.10524221625386,105.90808713816772
114.36098677011837,108.16950164130111,105.91713916243907
114.15726648761564,108.07251566696509,105.88719785138764
114.27235651049438,108.09688650154183,105.83895354620512
114.29991047448523,108.20451606485626,106.01243409927385
114.38933651646275,108.22630060678405,105.969760270566
114.28369640903213,108.21317019795086,106.02367452501741
114.36257833482543,108.22053118472098,105.95155674922908
114.12434099273848,108.04844325077092,105.85775390430717
114.1133989853775,107.92688749626977,105.65522729533473
114.1285188500945,107.97781756689545,105.81448323883419
114.22858848105044,107.98070227792698,105.72923505421268
114.14055505819158,107.99641897940913,105.80592857853377
114.22301800457575,107.98428329851785,105.71888988361682
114.10534168904805,107.95523724261415,105.76544315129811
114.17208793395007,107.96021088232368,105.68616333432806
114.2073013030936,108.0551079279817,105.87347060578932
114.29821943698398,108.06943201034517,105.81020590868397
114.22530587884214,108.08126927285387,105.88570575947479
114.2063065751517,107.99084850293444,105.69481746742267
114.12245100964886,107.98030438675022,105.78573560131304
114.30936038993336,108.10106435889784,105.82910573958023
114.24012732517656,108.11588580523227,105.89187307271462
114.35820153188104,108.15726648761564,105.87486322490798
114.25455088033422,108.14025663980901,105.9363374117179
114.332637023774,108.13428827215756,105.85427235651049
114.22918531781558,108.11787526111608,105.90977817566896
114.43399980105441,108.24440465532676,105.9642892668855
114.33323386053914,108.24629463841639,106.05043270665473
114.34855267084453,108.16940216850692,105.90579926390133
114.12444046553267,107.98696906396101,105.80523226897444
114.1543817765841,107.89983089624988,105.6316522431115
114.13369143539242,107.95941509997016,105.76176265791307
114.24331045459067,107.98995324778673,105.72535561523924
114.23803839649855,108.07798667064557,105.8845120859445
114.3369143539242,108.09708544713021,105.83457674326071
114.1954640405849,108.03362180443649,105.83079677708147
114.27066547299313,108.01124042574357,105.73778971451308
114.24251467223715,108.0831592559435,105.87605689843828
114.32786232965285,108.09310653536258,105.80443648662092
114.2980204913956,108.14622500746046,105.93693424848304
114.37710136277728,108.1425445140754,105.85974336019099
114.25146722371431,108.11250373022978,105.89933353227892
114.31980503332339,108.1219536456779,105.82572366457774
114.30359096787029,108.1717895155675,105.96816870585894
114.43091614443449,108.21297125236248,105.94260419775192
114.35481945687854,108.23555157664379,106.01870088530787
114.33353227892171,108.14702078981398,105.84880135283
114.24858251268279,108.11459265890778,105.90540137272455
114.33562120759971,108.12901621406546,105.86034019695613
114.21635332736497,108.04764746841738,105.86680592857853
114.3109519546404,108.02536556251866,105.77837461454293
114.22689744354919,108.03362180443649,105.86362279916443
114.23614841340893,107.95314831393614,105.68865015418284
114.16124539938326,107.95832089923405,105.76136476673629
114.33313438774495,108.06963095593355,105.80543121456282
114.25693822739481,108.06256838754601,105.88292052123744
114.34387744951756,108.06037998607381,105.79956231970556
114.23555157664379,108.02576345369542,105.85069133591962
114.23346264796578,107.95722669849796,105.695513776982
114.1468218442256,107.95981299114692,105.7689246990948
114.27603700387944,108.01810404854272,105.75281010643589
114.20988759574256,108.04824430518254,105.84820451606485
114.31025564508107,108.07480354123147,105.8152790211877
114.14771709937332,108.00139261911868,105.8001591564707
114.18143837660399,107.97025763453695,105.7018800358102
114.21197652442058,108.07510195961405,105.9040087536059
114.28051327961802,108.07370934049537,105.8208494976624
114.17616631851189,108.0269571272257,105.8693922212275
114.16293643688451,107.91425445140754,105.6750223813787
114.01631353824729,107.79856759176366,105.64876156371233
114.07152093902317,107.77131204615537,105.54690142246096
114.07251566696509,107.84631453297523,105.68924699094798
114.16681587585795,107.87764846314533,105.63234855267085
114.10384959713518,107.90679399184323,105.75121854172883
114.05331741768626,107.79339500646573,105.54431512981199
113.93812792201332,107.74853277628569,105.57923008057297
114.07380881328956,107.79190291455286,105.55664975629165
114.03411916840744,107.84273351238436,105.68347756888491
114.12125733611857,107.8651148910773,105.63155277031731
114.0843529294738,107.90938028449219,105.75201432408237
114.07629563314434,107.82701681090222,105.58569581219537
113.96528399482742,107.79399184323087,105.62369441957624
114.13856560230776,107.89266885506814,105.65622202327664
114.11310056699493,107.93862528598429,105.78802347557942
114.183527305282,107.94658310951955,105.70864418581517
114.030239729434,107.85954441460261,105.70257634536954
113.98199542425147,107.71361782552472,105.48134885108922
113.87436586093703,107.65065154680195,105.49418084153984
114.02864816472695,107.68964488212474,105.47428628270168
113.96319506614941,107.7105341689048,105.57186909380285
114.09668755595345,107.76683577041679,105.54690142246096
113.8994330050731,107.66318511886999,105.49746344374813
113.95454093305482,107.63583010046752,105.39421068337809
113.97901124042575,107.75012434099274,105.60449617029742
114.08564607579827,107.77111310056699,105.54003779966179
114.02735501840246,107.80234755794291,105.63841639311649
114.13369143539242,107.8162737491296,105.58619317616632
113.96518452203323,107.73689445936536,105.58519844822442
114.01601511986472,107.70416791007659,105.46334427534069
114.04237541032528,107.82970257634537,105.6640803740177
114.1165821147916,107.8326867601711,105.59275838058291
114.04695115885805,107.85377499253954,105.69133591962598
114.09728439271859,107.82244106236944,105.58768526807918
113.97125236247886,107.76932259027156,105.61026559236049
