R,G,B
165.4037954279015,152.50769343493553,149.8072977725674
165.20655041031654,152.43647420867526,149.80759085580306
165.36606096131302,152.5082063305979,149.80531946072685
165.22867819460726,152.47318288393905,149.82876611957795
165.20530480656507,152.38269343493553,149.67328546307152
165.15320926143025,152.40804513481828,149.7657532239156
165.2762309495897,152.4781652989449,149.79960433763188
165.1340123094959,152.45222743259086,149.84166178194607
165.2560082063306,152.4887162954279,149.79235052754981
165.16317409144196,152.47992379835873,149.85778135990623
165.14492966002345,152.4051143024619,149.70735638921454
165.0571512309496,152.39947245017586,149.8042936694021
165.21578253223916,152.50769343493553,149.8396101992966
165.0663100820633,152.44460726846424,149.86774618991794
165.11781946072685,152.4103165298945,149.76721864009377
164.99684935521688,152.36386283704573,149.80986225087926
165.03172626025793,152.32415005861665,149.68105216881594
164.9493698710434,152.30663833528723,149.75652110199297
165.10800117233293,152.38481828839392,149.74941383352873
164.94915005861665,152.36085873388043,149.81565064478312
165.0293083235639,152.36327667057444,149.75344372801877
164.95611078546307,152.3714097303634,149.85265240328252
164.9662954279015,152.32253810082062,149.72420867526378
164.9248241500586,152.3500879249707,149.82920574443142
165.16691090269637,152.50021981242674,149.90240328253225
165.00043962485347,152.43962485345838,149.93134525205159
165.0262309495897,152.4164712778429,149.835213950762
165.02498534583822,152.49897420867526,149.9964097303634
165.03194607268463,152.4087045720985,149.81960726846424
164.83697245017586,152.32173212192262,149.82546893317704
164.95764947245019,152.37771101992965,149.80678487690503
164.94299531066824,152.4405041031653,149.95061547479483
164.93720691676435,152.37302168815944,149.80920281359906
164.82026670574444,152.35565650644784,149.87624560375147
164.85419109026964,152.30993552168815,149.77007620164127
164.70911488862836,152.2807004689332,149.80268171160608
164.82283118405627,152.3193874560375,149.77901524032825
164.83418815943728,152.3952227432591,149.9517878077374
164.8629103165299,152.33382180539274,149.82546893317704
164.78121336459554,152.32187866354045,149.89199882766707
164.8057590855803,152.2627491207503,149.75937866354045
164.58697245017586,152.16962192262602,149.7347596717468
164.64434349355216,152.13577080890974,149.62998241500586
164.69065064478312,152.27388628370457,149.85895369284876
164.79044548651817,152.2837778429074,149.79161781946073
164.68317702227432,152.30290152403282,149.90247655334116
164.73329425556858,152.2709554513482,149.78077373974207
164.60866060961314,152.20764947245019,149.79777256740914
164.6839097303634,152.1987837045721,149.71270515826495
164.70611078546307,152.3252491207503,149.93266412661197
164.77088218053927,152.32055978898006,149.87126318874562
164.82319753810083,152.42020808909731,150.04652696365767
164.96395076201642,152.4985345838218,150.06147420867526
164.80524618991794,152.43962485345838,150.09679073856975
164.84254103165298,152.425337045721,150.01392145369286
164.90687280187572,152.57861957796015,150.2674384525205
165.01853751465416,152.64287807737398,150.2807004689332
164.9420427901524,152.67643610785464,150.40621336459554
164.99985345838218,152.66463950762017,150.34232121922625
164.66735052754981,152.43691383352873,150.1858147713951
164.60441090269637,152.29769929660023,149.96812719812428
164.6181125439625,152.3886283704572,150.14808030480657
164.6831037514654,152.38364595545136,150.05312133645955
164.5157532239156,152.32033997655333,150.0812573270809
164.4924531066823,152.27527842907386,149.96636869871043
164.04579425556858,151.9662221570926,149.7447977725674
163.97919109026964,151.86195779601408,149.5693141852286
163.78912661195778,151.80268171160608,149.59290738569754
163.83543376318875,151.78304513481828,149.50798651817115
163.73849648300117,151.78443728018757,149.59136869871043
163.8004103165299,151.7950615474795,149.52967467760845
163.5962045720985,151.70288686987104,149.4986078546307
163.63305978898006,151.66896248534584,149.39067995310668
163.62009085580306,151.73109613130129,149.52923505275498
163.83843786635404,151.87543962485347,149.61642731535756
163.79418229777258,151.9201348182884,149.73410023446658
163.90108440797187,151.94812426729192,149.67819460726847
163.789786049238,151.9471717467761,149.7251611957796
163.75718053927315,151.85507033997655,149.56843493552168
163.62624560375147,151.82041324736224,149.60191969519343
163.82290445486518,151.94226260257912,149.65973036342322
163.72230363423213,151.94680539273153,149.75505568581477
163.82480949589683,151.9487837045721,149.68244431418523
163.7055978898007,151.9222596717468,149.7319021101993
163.69006447831185,151.80378077373973,149.53854044548652
163.55260844079717,151.75593493552168,149.5663100820633
163.8103018757327,151.92577667057444,149.67284583821805
163.71131301289566,151.9192555685815,149.74047479484173
163.76450762016412,151.9021101992966,149.63818874560374
163.71658851113716,151.91859613130129,149.74904747948418
163.73102286049237,151.86210433763188,149.613643024619
163.63064185228606,151.8269343493552,149.65269636576787
163.79484173505276,151.92064771395076,149.68017291910903
163.7618698710434,151.9584554513482,149.8089097303634
163.87434056271982,151.99150058616647,149.78187280187572
163.7914712778429,152.01758499413833,149.8631301289566
163.76472743259086,151.90723915592028,149.67453106682296
163.62910316529894,151.86686694021103,149.70962778429075
163.75725381008206,151.94409437280189,149.70208089097304
163.7424531066823,152.00622801875733,149.84679073856975
163.85426436107855,152.05268171160608,149.82107268464244
163.8117672919109,152.0956184056272,149.94731828839392
163.77974794841734,151.99208675263776,149.76729191090269
163.63152110199297,151.94541324736224,149.8050263774912
163.6612690504103,151.90687280187572,149.6882327080891
163.6385550996483,151.94563305978897,149.81154747948418
163.7500732708089,151.95530480656507,149.74501758499414
163.6822245017585,151.96145955451348,149.86173798358735
163.69643903868698,151.8817409144197,149.70977432590857
163.58785169988278,151.84730363423213,149.7380568581477
163.5353165298945,151.77161488862836,149.5663833528722
163.56872801875733,151.88752930832356,149.77388628370457
163.72985052754981,151.93720691676435,149.7635550996483
163.60492379835873,151.9013774912075,149.80839683470106
163.6649325908558,151.8796893317702,149.70735638921454
163.49538393903867,151.78355803048066,149.70134818288395
163.45699003516998,151.67900058616647,149.52667057444313
163.51157678780774,151.82290445486518,149.74186694021103
163.6084407971864,151.8434202813599,149.68955158264947
163.54381594372802,151.89207209847598,149.80773739742088
163.63203399765533,151.89932590855804,149.73439331770223
