R,G,B
133.04101895496942,124.98004212215425,128.49593822084043
132.94945341490322,125.00090261759101,128.59422324741752
133.0176511884465,125.00621803229365,128.51078126567043
132.99638952963593,125.05836927088556,128.63905325443787
133.07110620800321,125.06208003209306,128.5823889278909
132.91906528933907,125.0076221041019,128.61367967104604
132.87734429846554,124.91003911342895,128.43365760706047
132.96549994985457,125.08574867114632,128.70634841039012
133.15976331360946,125.17460635843948,128.72620599739244
133.05897101594624,125.18222846254137,128.80433256443686
133.17229966904023,125.21783171196469,128.77915956273193
133.0475378597934,125.17460635843948,128.81295757697322
133.05917159763314,125.13559322033899,128.70013037809647
133.01484304483,125.17711362952562,128.82960585698527
133.21502356834822,125.29024170093271,128.87694313509178
133.13067896901012,125.29956874937318,128.95918162671748
133.23979540667938,125.3554307491726,128.93842142212415
133.1463243405877,125.35222144218233,129.02647678266973
133.16317320228663,125.31230568649082,128.9001103199278
132.9997994183131,125.23598435462843,128.90682980643868
133.1725002507271,125.36094674556213,128.96790693009729
133.15073713769934,125.41339885668438,129.08474576271186
133.26155851970714,125.43185237187845,129.03670644870124
133.19657005315415,125.43215324440878,129.13569351118244
133.19767325243205,125.35813860194564,128.9919767325243
133.01163373783973,125.27028382308696,128.9779360144419
133.0861498345201,125.28051348911845,128.92207401464248
133.15214120950756,125.40597733426938,129.13178216828803
133.22033898305085,125.40788286029486,129.05937217932004
133.12095075719586,125.41259652993682,129.13378798515694
133.26185939223748,125.4703640557617,129.1273693711764
133.10781265670445,125.42142212416006,129.14331561528434
133.10991876441682,125.35011533446996,128.9940828402367
133.09407281115233,125.42392939524622,129.15755691505365
133.24781867415504,125.50546585096781,129.16126767626116
133.15615284324542,125.53695717580985,129.25453816066593
133.27579981947648,125.57597031391035,129.22645672450105
133.186641259653,125.58690201584595,129.32173302577473
133.20830408183733,125.54728713268479,129.20850466352422
133.0967806639254,125.51238591916558,129.27228963995586
133.28683181225554,125.62782067997192,129.31471266673353
133.22254538160666,125.6622204392739,129.4256343395848
133.38140607762512,125.74405776752583,129.42994684585298
133.3491124260355,125.7948049343095,129.55119847557918
133.32153244408786,125.71627720389128,129.3953465048641
133.1626717480694,125.65840938722295,129.408584896199
133.3403871226557,125.73302577474676,129.4154046735533
133.3112024872129,125.80784274395748,129.57356333366764
133.40467355330458,125.84535151940628,129.51128271988767
133.31952662721895,125.86430648881758,129.6423628522716
133.38391334871127,125.85016547989169,129.53585397653194
133.25995386621202,125.82168288035302,129.58098485608264
133.31190452311705,125.8107511784174,129.4928292046936
133.3125062681777,125.91214522114132,129.67776552000802
133.34239293952461,125.86681375990372,129.56233075920167
133.27730418212818,125.8661117239996,129.63644569250826
133.40447297161768,125.90131381004915,129.63052853274496
133.24330558619997,125.85307391435163,129.63423929395248
133.28332163273492,125.82659713168188,129.54016648280012
133.18613980543577,125.81205495938221,129.60495436766624
133.366763614482,125.91695918162672,129.64176110721093
133.29194664527128,125.93400862501254,129.72139203690702
133.37779560726105,125.94704643466052,129.66583090963795
133.26727509778357,125.93079931802227,129.7287132684786
133.27499749272891,125.86500852472169,129.59733226356434
133.18804533146124,125.83431952662721,129.64055761708957
133.34600340988868,125.94132985658409,129.6945140908635
133.29244809948852,125.9762310701033,129.78447497743457
133.41219536656303,126.0115334469963,129.75328452512287
133.32343797011333,126.02055962290643,129.84856082639655
133.3859191655802,126.00090261759101,129.76060575669442
133.264667535854,125.96570053154147,129.78908835623307
133.30518503660616,125.95145923177213,129.7041420118343
133.32855280312907,126.04091866412597,129.88286029485508
133.43596429645973,126.07832714873132,129.85247216929093
133.3695717580985,126.10841440176512,129.9468458529736
133.48681175408686,126.14110921672851,129.91575569150535
133.3054859091365,126.0625814863103,129.91154347608062
133.33737839735232,126.0386119747267,129.7983151138301
133.33767926988267,126.09668037308194,129.93440978838632
133.46354427840737,126.14532143215324,129.92578477584996
133.4023668639053,126.17851770133387,130.03670644870124
133.41440176511884,126.12997693310601,129.9169591816267
133.2900411192458,126.06238090462341,129.92748972018856
133.27118644067798,125.96128773442985,129.748370273794
133.1593621502357,125.95025574165079,129.7886871928593
133.37498746364457,126.04392738942934,129.85327449603852
133.3336676361448,126.0874536154849,129.95797813659613
133.39484505064686,126.06197974124963,129.86781666833818
133.32253535252232,126.08304081837328,129.97542874335574
133.3127068498646,126.01032995687494,129.80473372781066
133.21853374786883,125.99177615083742,129.85257246013438
133.30498445491926,125.99638952963595,129.7952060976833
133.30007020359042,126.07180824390733,129.96700431250628
133.3879249824491,126.09076321331862,129.91074114933306
133.32173302577473,126.1101193461037,129.99749272891384
133.3778958981045,126.10550596730519,129.90943736836826
133.25834921271687,126.05375589208705,129.94383712767024
133.29014141008926,126.0161468257948,129.82960585698527
133.29094373683682,126.08915855982349,129.99117440577675
133.3994584294454,126.12977635141911,129.95888075418713
133.31491324842042,126.14361648781467,130.0324942332765
133.42292648681175,126.16407581987764,129.99287935011535
133.28502657707352,126.13178216828804,130.00160465349515
133.30578678166682,126.08534750777254,129.8789489519607
133.23217330257748,126.10129375188045,129.98144619396248
133.39845552101093,126.18383311603651,130.00381105205093
133.35944238291043,126.23217330257748,130.13258449503562
133.43967505766724,126.24952361849363,130.07120649884666
