1749	91.000			
1750	91.000			
1751	87.000			
1752	87.000			
1753	83.000			
1754	79.000			
1755	79.000			
1756	73.000			
1757	73.000			
1758	67.000			
1759	61.000			
1760	61.000			
1761	55.000			
1762	55.000			
1763	50.000			
1764	46.000			
1765	46.000			
1766	44.000			
1767	44.000			
1768	42.000			
1769	42.000			
1770	41.000			
1771	40.000			
1772	40.000			
1773	38.000			
1774	38.000			
1775	37.000			
1776	35.000			
1777	35.000			
1778	32.000			
1779	32.000			
1780	30.000			
1781	30.000			
1782	28.000			
1783	28.000			
1784	28.000			
1785	28.000			
1786	28.000			
1787	29.000			
1788	31.000			
1789	31.000			
1790	33.000			
1791	33.000			
1792	34.000			
1793	35.000			
1794	35.000			
1795	35.000			
1796	35.000			
1797	34.000			
1798	34.000			
1799	34.000			
1800	34.000			
1801	34.000			
1802	35.000			
1803	35.000			
1804	37.000			
1805	43.000			
1806	43.000			
1807	53.000			
1808	53.000			
1809	67.000			
1810	67.000			
1811	85.000			
1812	108.000			
1813	108.000			
1814	132.000			
1815	132.000			
1816	155.000			
1817	175.000			
1818	175.000			
1819	190.000			
1820	190.000			
1821	201.000			
1822	201.000			
1823	208.000			
1824	212.000			
1825	212.000			
1826	213.000			
1827	213.000			
1828	213.000			
1829	210.000			
1830	210.000			
1831	206.000			
1832	206.000			
1833	200.000			
1834	193.000			
1835	193.000			
1836	185.000			
1837	185.000			
1838	176.000			
1839	176.000			
1840	167.000			
1841	158.000			
1842	158.000			
1843	149.000			
1844	149.000			
1845	142.000			
1846	135.000			
1847	135.000			
1848	129.000			
1849	129.000			
1850	124.000			
1851	124.000			
1852	119.000			
1853	115.000			
1854	115.000			
1855	111.000			
1856	111.000			
1857	106.000			
1858	101.000			
1859	101.000			
1860	97.000			
1861	97.000			
1862	93.000			
1863	88.000			
1864	88.000			
1865	84.000			
1866	84.000			
1867	80.000			
1868	80.000			
1869	75.000			
1870	71.000			
1871	71.000			
1872	67.000			
1873	67.000			
1874	62.000			
1875	58.000			
1876	58.000			
1877	54.000			
1878	54.000			
1879	51.000			
1880	51.000			
1881	48.000			
1882	46.000			
1883	46.000			
1884	43.000			
1885	43.000			
1886	41.000			
1887	39.000			
1888	39.000			
1889	37.000			
1890	37.000			
1891	35.000			
1892	33.000			
1893	33.000			
1894	32.000			
1895	32.000			
1896	31.000			
1897	31.000			
1898	30.000			
1899	29.000			
1900	29.000			
1901	28.000			
1902	28.000			
1903	27.000			
1904	25.000			
1905	25.000			
1906	25.000			
1907	25.000			
1908	25.000			
1909	25.000			
1910	26.000			
1911	28.000			
1912	28.000			
1913	30.000			
1914	30.000			
1915	31.000			
1916	32.000			
1917	32.000			
1918	32.000			
1919	32.000			
1920	33.000			
1921	35.000			
1922	35.000			
1923	41.000			
1924	41.000			
1925	51.000			
1926	51.000			
1927	66.000			
1928	83.000			
1929	83.000			
1930	103.000			
1931	103.000			
1932	124.000			
1933	143.000			
1934	143.000			
1935	159.000			
1936	159.000			
1937	172.000			
1938	172.000			
1939	182.000			
1940	188.000			
1941	188.000			
1942	192.000			
1943	192.000			
1944	193.000			
1945	194.000			
1946	194.000			
1947	192.000			
1948	192.000			
1949	190.000			
1950	186.000			
1951	186.000			
1952	180.000			
1953	180.000			
1954	173.000			
1955	173.000			
1956	166.000			
1957	158.000			
1958	158.000			
1959	151.000			
1960	151.000			
1961	145.000			
1962	140.000			
1963	140.000			
1964	136.000			
1965	136.000			
1966	132.000			
1967	132.000			
1968	128.000			
1969	125.000			
1970	125.000			
1971	121.000			
1972	121.000			
1973	118.000			
1974	114.000			
1975	114.000			
1976	111.000			
1977	111.000			
1978	107.000			
1979	107.000			
1980	103.000			
1981	99.000			
1982	99.000			
1983	95.000			
1984	95.000			
1985	91.000			
1986	87.000			
1987	87.000			
1988	84.000			
1989	84.000			
1990	79.000			
1991	75.000			
1992	75.000			
1993	70.000			
1994	70.000			
1995	66.000			
1996	66.000			
1997	62.000			
1998	60.000			
1999	60.000			
2000	58.000			
2001	58.000			
2002	58.000			
2003	57.000			
2004	57.000			
2005	56.000			
2006	56.000			
2007	54.000			
2008	54.000			
2009	51.000			
2010	48.000			
2011	48.000			
2012	45.000			
2013	45.000			
2014	43.000			
2015	43.000			
2016	43.000			
2017	43.000			
2018	43.000			
2019	45.000			
2020	46.000			
2021	46.000			
2022	47.000			
2023	47.000			
2024	47.000			
2025	47.000			
2026	47.000			
2027	46.000			
2028	46.000			
2029	45.000			
2030	45.000			
2031	45.000			
2032	44.000			
2033	44.000			
2034	44.000			
2035	44.000			
2036	45.000			
2037	45.000			
2038	48.000			
2039	53.000			
2040	53.000			
2041	62.000			
2042	62.000			
2043	75.000			
2044	92.000			
2045	92.000			
2046	111.000			
2047	111.000			
2048	132.000			
2049	152.000			
2050	152.000			
2051	169.000			
2052	169.000			
2053	183.000			
2054	183.000			
2055	193.000			
2056	199.000			
2057	199.000			
2058	201.000			
2059	201.000			
2060	201.000			
2061	199.000			
2062	199.000			
2063	197.000			
2064	197.000			
2065	193.000			
2066	193.000			
2067	189.000			
2068	184.000			
2069	184.000			
2070	178.000			
2071	178.000			
2072	170.000			
2073	163.000			
2074	163.000			
2075	154.000			
2076	154.000			
2077	147.000			
2078	140.000			
2079	140.000			
2080	134.000			
2081	134.000			
2082	129.000			
2083	129.000			
2084	125.000			
2085	122.000			
2086	122.000			
2087	119.000			
2088	119.000			
2089	116.000			
2090	112.000			
2091	112.000			
2092	108.000			
2093	108.000			
2094	104.000			
2095	104.000			
2096	100.000			
2097	96.000			
2098	96.000			
2099	92.000			
2100	92.000			
2101	87.000			
2102	83.000			
2103	83.000			
2104	78.000			
2105	78.000			
2106	72.000			
2107	72.000			
2108	67.000			
2109	63.000			
2110	63.000			
2111	59.000			
2112	59.000			
2113	56.000			
2114	55.000			
2115	55.000			
2116	53.000			
2117	53.000			
2118	52.000			
2119	50.000			
2120	50.000			
2121	48.000			
2122	48.000			
2123	45.000			
2124	45.000			
2125	44.000			
2126	42.000			
2127	42.000			
2128	41.000			
2129	41.000			
2130	40.000			
2131	39.000			
2132	39.000			
2133	38.000			
2134	38.000			
2135	36.000			
2136	36.000			
2137	35.000			
2138	35.000			
2139	35.000			
2140	35.000			
2141	35.000			
2142	35.000			
2143	36.000			
2144	36.000			
2145	37.000			
2146	37.000			
2147	38.000			
2148	38.000			
2149	38.000			
2150	38.000			
2151	38.000			
2152	40.000			
2153	40.000			
2154	44.000			
2155	52.000			
2156	52.000			
2157	64.000			
2158	64.000			
2159	82.000			
2160	104.000			
2161	104.000			
2162	129.000			
2163	129.000			
2164	156.000			
2165	156.000			
2166	181.000			
2167	203.000			
2168	203.000			
2169	220.000			
2170	220.000			
2171	232.000			
2172	240.000			
2173	240.000			
2174	244.000			
2175	244.000			
2176	245.000			
2177	244.000			
2178	244.000			
2179	241.000			
2180	241.000			
2181	236.000			
2182	236.000			
2183	229.000			
2184	221.000			
2185	221.000			
2186	211.000			
2187	211.000			
2188	201.000			
2189	191.000			
2190	191.000			
2191	183.000			
2192	183.000			
2193	175.000			
2194	175.000			
2195	168.000			
2196	163.000			
2197	163.000			
2198	157.000			
2199	157.000			
2200	151.000			
2201	144.000			
2202	144.000			
2203	138.000			
2204	138.000			
2205	131.000			
2206	126.000			
2207	126.000			
2208	120.000			
2209	120.000			
2210	115.000			
2211	115.000			
2212	110.000			
2213	104.000			
2214	104.000			
2215	98.000			
2216	98.000			
2217	91.000			
2218	84.000			
2219	84.000			
2220	78.000			
2221	78.000			
2222	72.000			
2223	72.000			
2224	67.000			
2225	62.000			
2226	62.000			
2227	57.000			
2228	57.000			
2229	52.000			
2230	47.000			
2231	47.000			
2232	42.000			
2233	42.000			
2234	39.000			
2235	39.000			
2236	36.000			
2237	35.000			
2238	35.000			
2239	34.000			
2240	34.000			
2241	34.000			
2242	34.000			
2243	34.000			
2244	33.000			
2245	33.000			
2246	31.000			
2247	29.000			
2248	29.000			
2249	27.000			
2250	27.000			
2251	26.000			
2252	26.000			
2253	26.000			
2254	26.000			
2255	26.000			
2256	28.000			
2257	28.000			
2258	30.000			
2259	33.000			
2260	33.000			
2261	34.000			
2262	34.000			
2263	35.000			
2264	35.000			
2265	35.000			
2266	35.000			
2267	35.000			
2268	37.000			
2269	37.000			
2270	44.000			
2271	55.000			
2272	55.000			
2273	72.000			
2274	72.000			
2275	95.000			
2276	121.000			
2277	121.000			
2278	148.000			
2279	148.000			
2280	173.000			
2281	173.000			
2282	195.000			
2283	212.000			
2284	212.000			
2285	224.000			
2286	224.000			
2287	233.000			
2288	238.000			
2289	238.000			
2290	240.000			
2291	240.000			
2292	238.000			
2293	238.000			
2294	234.000			
2295	226.000			
2296	226.000			
2297	217.000			
2298	217.000			
2299	207.000			
2300	197.000			
2301	197.000			
2302	188.000			
2303	188.000			
2304	179.000			
2305	171.000			
2306	171.000			
2307	163.000			
2308	163.000			
2309	156.000			
2310	156.000			
2311	149.000			
2312	143.000			
2313	143.000			
