R,G,B
134.49871919441745,123.24238141506935,120.89762388481583
134.5635544563201,123.25836940199629,120.80885080823249
134.49068103524425,123.27912728557548,120.92138503665754
134.61275505697375,123.33406942849571,120.92447663633955
134.5435032240968,123.36092218001943,121.01466301563467
134.57212260401025,123.30615669993817,120.89788887907429
134.4483702853105,123.27550569737656,120.94496952566028
134.56752937019698,123.26676088684745,120.87483437858846
134.46241498100875,123.24026146100168,120.92182669375497
134.55701793127815,123.2200335659394,120.83561522833672
134.49483261196008,123.24291140358626,120.93410476106351
134.56134617083296,123.2363748785443,120.84259341047611
134.39784471336455,123.16888967405706,120.85654977475488
134.40561787827932,123.12596060418691,120.74931543149899
134.23310661602332,123.09115802490946,120.7843830050349
134.37593852133205,123.14088861408003,120.78164473103082
134.3291228690045,123.17675117039131,120.8884374171893
134.4000529988517,123.16199982333715,120.80213762035156
134.3159614875011,123.17454288490416,120.90371875276035
134.2909636957866,123.08470983128699,120.71672113770869
134.1504284073845,123.04416570974296,120.76530341842593
134.15440332126138,122.99690840031799,120.64004946559491
134.10891264022612,123.05582545711509,120.77272325766275
134.22339015987987,123.09009804787563,120.74472219768572
134.19742072255102,123.16058652062539,120.90186379295115
134.25050790566203,123.12967052380532,120.80549421429203
134.0020316226482,122.94514618849925,120.69817153961664
134.00194329122868,122.84436003886583,120.51585548979772
133.9190884197509,122.83296528575214,120.60869181167742
134.1196890734034,122.93852133203781,120.63810617436623
134.02543944881194,122.9473544739864,120.70232311633248
134.09575125872271,122.95141771928274,120.62529811854077
134.0545004858228,122.99531843476724,120.74878544298207
134.06881017577953,122.94240791449519,120.6231781644731
133.99099019521245,122.93401642964402,120.6903100432824
134.0514088861408,122.9134352089038,120.59226216765303
134.01501634131262,122.99576009186468,120.7511703913082
134.14875011041428,123.04425404116245,120.74604716897801
134.0851514883844,123.06669022171187,120.84029679356948
134.19812737390689,123.08612313399877,120.78252804522569
134.02835438565498,123.03709919618409,120.7993993463475
134.15078173306244,123.0639519477078,120.75744192209169
134.01104142743574,123.04186909283632,120.80425757441922
134.17189294231957,123.12940552954686,120.83720519388747
134.01077643317728,123.02959102552778,120.82157053263846
134.08179489444396,122.97482554544652,120.68889674057063
133.9761505167388,122.96767070046816,120.76512675558696
133.99152018372936,122.91414186025969,120.62459146718487
133.8821658864058,122.89426729087536,120.68271354120661
133.95636427877395,122.89674057062096,120.6106351029061
133.9931984806996,123.03153431675646,120.81503400759651
134.1304655065807,123.08188322586344,120.81635897888879
134.0381591732179,123.10060948679445,120.90380708417985
134.10564437770515,123.08894973942232,120.79904602066955
134.00618319936402,123.0633336277714,120.8489532726791
134.06421694196627,123.05149721756028,120.75346700821483
133.93869799487678,123.02720607720165,120.80116597473722
134.10670435473898,123.13126048935607,120.84692165003092
134.05052557194594,123.1611165091423,120.95645261019345
134.1718046109001,123.21367370373642,120.94364455436799
134.12207402172953,123.25677943644554,121.06642522745341
134.13744368872008,123.21075876689338,120.95698259871035
133.92323999646675,123.0771133292112,120.89947884462504
133.97933044784028,122.98613196714071,120.73721402702941
133.9404646232665,123.03391926508259,120.8614963342461
134.0638636162883,123.07225510113948,120.82422047522304
133.9925801607632,123.09433795601095,120.9297765215087
134.1115625828107,123.14256691105027,120.88923239996467
134.06739687306776,123.17948944439537,121.0188145923505
134.0738450666902,123.12331066160233,120.87359773871566
133.92756823602156,123.06757353590672,120.8984188675912
134.05591378853458,123.12799222683509,120.8915290168713
133.99196184082678,123.1655330801166,121.01227806730854
134.1497217560286,123.2156169949651,120.99514177192827
134.0463739952301,123.21323204663899,121.06854518152107
134.11871742778905,123.22339015987987,120.99355180637752
134.04725730942496,123.2369931984807,121.07623001501634
134.0927479904602,123.21667697199894,121.00529988516915
134.03665753908666,123.26199099019522,121.12180902747107
134.17948944439536,123.30615669993817,121.09575125872273
134.06995848423284,123.25112622559844,121.11871742778906
134.1015811324088,123.17683950181079,120.99240349792422
134.03082766540058,123.17666283897182,121.0457556752937
134.0914230191679,123.16632806289196,120.9735889055737
133.95760091864676,123.13152548361452,120.99894002296617
134.17948944439536,123.27559402879604,121.07640667785532
134.14760180196095,123.32823955480964,121.20325059623708
134.19971733945764,123.29670523805318,121.10900097164561
134.13585372316933,123.3272679091953,121.19477077996643
134.24352972352267,123.32762123487325,121.13700203162264
134.07623001501634,123.27100079498277,121.1416835968554
134.09795954420989,123.23372493595971,121.01907958660895
134.1122692341666,123.32541294938609,121.18567264375939
134.25209787121278,123.39492977652151,121.19459411712747
134.22966169066336,123.45402349615759,121.32444130377175
134.3159614875011,123.49050437240527,121.28566381061744
134.17904778729795,123.4445720342726,121.32249801254306
